N,passt,voxel,plana,clust,cylin,total
23,0.089,0.192,0.043,0.125,0.053,0.689
24,0.072,0.189,0.053,0.099,0.058,0.658
25,0.084,0.190,0.043,0.071,0.091,0.666
26,0.083,0.192,0.043,0.053,0.048,0.605
27,0.085,0.191,0.038,0.043,0.057,0.601
28,0.084,0.194,0.038,0.031,0.046,0.580
29,0.086,0.192,0.043,0.037,0.044,0.590
30,0.083,0.195,0.038,0.023,0.055,0.582
31,0.087,0.191,0.037,0.025,0.048,0.575
32,0.084,0.191,0.037,0.021,0.039,0.560
33,0.085,0.191,0.037,0.018,0.059,0.578
34,0.085,0.191,0.037,0.020,0.037,0.557
35,0.085,0.192,0.037,0.016,0.036,0.552
36,0.084,0.194,0.037,0.011,0.039,0.554
37,0.090,0.192,0.037,0.007,0.035,0.551
38,0.084,0.197,0.037,0.004,0.040,0.549
39,0.084,0.207,0.037,0.003,0.034,0.555
40,0.083,0.193,0.037,0.001,0.000,0.501
0,0.084,0.196,0.032,0.000,0.000,0.500
1,0.076,0.198,0.037,0.001,0.000,0.500
2,0.081,0.185,0.052,0.287,0.084,0.877
3,0.084,0.186,0.048,0.280,0.135,0.908
4,0.104,0.185,0.048,0.275,0.089,0.895
5,0.074,0.184,0.048,0.217,0.154,0.849
6,0.083,0.186,0.048,0.183,0.174,0.862
7,0.082,0.185,0.048,0.233,0.075,0.797
8,0.083,0.188,0.048,0.236,0.084,0.827
9,0.074,0.187,0.048,0.162,0.185,0.827
10,0.085,0.188,0.048,0.168,0.069,0.744
11,0.083,0.188,0.042,0.133,0.043,0.664
12,0.085,0.189,0.043,0.136,0.057,0.699
13,0.082,0.186,0.042,0.125,0.058,0.667
14,0.083,0.187,0.043,0.118,0.046,0.664
15,0.082,0.189,0.042,0.129,0.055,0.672
16,0.083,0.186,0.043,0.115,0.046,0.660
17,0.084,0.189,0.042,0.101,0.072,0.662
18,0.083,0.188,0.043,0.085,0.061,0.646
19,0.084,0.189,0.042,0.065,0.056,0.612
20,0.083,0.188,0.043,0.058,0.086,0.644
21,0.084,0.190,0.043,0.053,0.047,0.593
22,0.082,0.190,0.037,0.045,0.164,0.703
23,0.075,0.193,0.038,0.038,0.067,0.584
24,0.084,0.191,0.037,0.034,0.044,0.577
25,0.084,0.190,0.037,0.029,0.037,0.552
26,0.084,0.190,0.037,0.026,0.048,0.572
27,0.085,0.193,0.038,0.021,0.038,4.527
28,0.084,0.191,0.037,0.027,0.042,0.570
29,0.084,0.190,0.037,0.028,0.042,0.556
30,0.084,0.192,0.037,0.021,0.045,0.567
