N,passt,voxel,plana,clust,cylin,total
11,0.069,0.140,0.027,0.033,0.075,0.532
12,0.075,0.141,0.027,0.026,0.088,0.544
0,0.075,0.138,0.031,0.077,0.553,1.064
1,0.072,0.140,0.031,0.067,0.055,0.553
2,0.080,0.138,0.031,0.074,0.064,0.588
3,0.071,0.144,0.031,0.079,0.113,0.638
4,0.087,0.141,0.031,0.061,0.193,0.713
5,0.068,0.139,0.031,0.050,0.124,0.599
6,0.075,0.139,0.031,0.043,0.066,0.540
7,0.068,0.142,0.027,0.038,0.045,0.511
8,0.075,0.139,0.027,0.030,0.070,0.528
9,0.070,0.141,0.027,0.026,0.128,0.587
10,0.075,0.141,0.027,0.027,0.043,0.500
11,0.068,0.140,0.027,0.021,0.097,0.541
12,0.079,0.146,0.027,0.018,0.061,0.544
13,0.069,0.142,0.027,0.013,0.060,0.505
14,0.075,0.140,0.031,0.014,0.291,0.739
0,0.075,0.136,0.054,0.539,0.189,1.185
1,0.081,0.138,0.053,0.452,0.104,1.024
2,0.082,0.136,0.043,0.336,0.372,1.188
3,0.073,0.150,0.044,0.339,0.053,0.851
4,0.078,0.139,0.048,0.362,0.051,0.869
5,0.068,0.149,0.049,0.343,0.145,0.944
6,0.075,0.155,0.039,0.313,0.149,0.918
7,0.069,0.145,0.039,0.291,0.108,0.849
8,0.077,0.151,0.040,0.296,0.103,0.869
9,0.070,0.139,0.042,0.305,0.067,0.813
10,0.075,0.140,0.039,0.263,0.067,0.779
11,0.069,0.145,0.035,0.274,0.063,0.777
12,0.080,0.144,0.039,0.209,0.045,0.719
13,0.070,0.154,0.035,0.241,0.064,0.764
14,0.074,0.135,0.038,0.265,0.061,0.761
15,0.068,0.136,0.034,0.219,0.054,0.701
16,0.083,0.137,0.034,0.205,0.052,0.719
17,0.066,0.130,0.102,0.731,0.154,1.373
18,0.074,0.135,0.039,0.255,0.053,0.744
19,0.068,0.137,0.034,0.269,0.055,0.766
20,0.075,0.145,0.034,0.152,0.066,0.700
21,0.070,0.149,0.035,0.149,0.052,0.641
22,0.089,0.143,0.032,0.116,0.062,0.662
23,0.068,0.143,0.031,0.124,0.100,0.692
24,0.074,0.137,0.031,0.096,0.158,0.698
25,0.075,0.147,0.031,0.100,0.101,0.662
26,0.074,0.154,0.031,0.094,0.087,0.656
27,0.069,0.158,0.031,0.082,0.127,0.666
28,0.080,0.147,0.031,0.075,0.040,0.572
29,0.069,0.145,0.031,0.059,0.083,0.584
30,0.076,0.143,0.031,0.061,0.077,0.581
31,0.068,0.140,0.031,0.049,0.049,0.526
32,0.075,0.140,0.031,0.041,0.058,0.536
33,0.068,0.140,0.029,0.036,0.039,0.504
0,0.080,0.139,0.053,0.241,0.082,0.788
1,0.072,0.136,0.035,0.211,0.140,0.781
2,0.074,0.137,0.035,0.166,0.178,0.777
3,0.069,0.138,0.035,0.195,0.214,0.838
4,0.075,0.137,0.035,0.193,0.152,0.780
5,0.068,0.146,0.036,0.190,0.132,0.760
6,0.075,0.138,0.031,0.081,0.107,0.619
7,0.069,0.139,0.031,0.062,0.045,0.534
8,0.075,0.141,0.031,0.069,0.049,0.553
9,0.068,0.139,0.031,0.055,0.053,0.533
10,0.076,0.140,0.031,0.054,0.055,0.544
11,0.068,0.142,0.031,0.050,0.055,0.534
12,0.075,0.140,0.031,0.051,0.119,0.606
13,0.068,0.151,0.032,0.052,0.235,0.725
0,0.074,0.136,0.043,0.432,0.104,0.976
1,0.072,0.136,0.039,0.327,0.047,0.811
2,0.074,0.136,0.043,0.351,0.054,0.844
3,0.068,0.137,0.039,0.335,0.283,1.049
4,0.075,0.136,0.039,0.319,0.119,0.877
0,0.074,0.137,0.041,0.322,0.077,0.840
0,0.076,0.136,0.039,0.346,0.076,0.862
0,0.075,0.136,0.039,0.336,0.066,0.841
1,0.075,0.137,0.039,0.351,0.075,0.864
2,0.074,0.137,0.039,0.261,0.154,0.852
3,0.068,0.137,0.035,0.236,0.062,0.727
4,0.073,0.137,0.035,0.222,0.058,0.713
5,0.068,0.138,0.035,0.185,0.057,0.670
6,0.074,0.139,0.035,0.174,0.057,0.666
7,0.068,0.139,0.035,0.151,0.046,0.625
8,0.074,0.138,0.031,0.142,0.052,0.628
9,0.068,0.138,0.031,0.132,0.047,0.604
10,0.074,0.139,0.031,0.104,0.054,0.590
11,0.068,0.138,0.031,0.089,0.050,0.563
12,0.074,0.139,0.035,0.090,0.069,0.595
13,0.068,0.140,0.031,0.088,0.061,0.575
14,0.074,0.138,0.031,0.071,0.062,0.563
15,0.070,0.140,0.031,0.063,0.065,0.562
16,0.074,0.139,0.031,0.062,0.040,0.534
17,0.068,0.139,0.031,0.054,0.051,0.530
18,0.074,0.140,0.027,0.036,0.040,0.504
19,0.068,0.141,0.027,0.015,0.038,0.477
20,0.074,0.140,0.027,0.009,0.038,0.475
21,0.068,0.142,0.027,0.005,0.033,0.467
22,0.074,0.140,0.027,0.002,0.031,0.462
23,0.068,0.141,0.027,0.000,0.000,0.425
24,0.074,0.138,0.031,0.058,0.115,0.605
25,0.068,0.139,0.031,0.041,0.049,0.514
26,0.076,0.142,0.027,0.027,0.049,0.513
27,0.068,0.140,0.027,0.028,0.044,0.494
28,0.074,0.139,0.031,0.028,0.045,0.505
29,0.069,0.142,0.027,0.029,0.044,0.499
30,0.074,0.146,0.033,0.032,0.046,0.518
31,0.067,0.139,0.027,0.028,0.070,0.519
32,0.074,0.140,0.027,0.029,0.063,0.519
0,0.075,0.139,0.027,0.022,0.044,0.497
1,0.072,0.154,0.027,0.009,0.052,0.502
2,0.075,0.141,0.023,0.000,0.000,0.427
3,0.070,0.145,0.028,0.003,0.039,0.482
4,0.078,0.147,0.027,0.003,0.039,0.487
5,0.068,0.142,0.035,0.002,0.035,0.470
6,0.078,0.147,0.027,0.000,0.000,0.448
