N,pregr,grasp,postg,place,cptrT,

13,2.947,1.366,1.083,4.555,2.887
14,4.834,1.507,1.148,5.737,2.439
15,4.054,1.366,1.064,3.976,2.427
16,3.534,1.445,1.074,5.000,3.111
17,4.519,1.425,1.032,4.242,2.467
18,4.385,1.477,0.983,3.783,2.439
19,3.344,1.414,1.115,4.198,2.457
20,4.138,1.464,1.022,4.775,2.465
21,4.733,1.451,1.075,4.424,2.474
22,3.962,1.367,1.065,4.123,2.473
23,4.632,1.437,1.053,3.995,2.459
24,3.809,1.383,1.084,3.996,2.459
25,2.698,1.345,1.082,4.456,2.567
26,3.130,1.308,1.053,3.974,2.449
27,4.007,1.308,1.052,4.658,2.449
28,2.930,1.603,1.178,5.155,3.394
29,4.515,1.522,1.255,4.764,2.464
30,4.459,1.623,1.156,4.739,3.079
31,3.559,1.541,1.142,5.188,3.011
32,4.656,1.415,1.074,4.645,3.091
33,4.309,1.348,1.053,4.967,3.335
34,4.185,1.426,1.063,5.221,2.729
35,4.336,1.482,1.142,6.377,3.636
36,2.638,1.397,1.063,3.889,2.489
37,4.859,1.407,1.063,4.451,2.819
38,3.170,1.470,1.052,4.645,2.459
39,5.754,1.532,1.149,4.552,2.490
40,2.945,1.593,1.216,4.484,2.955
41,3.976,1.563,1.216,4.951,2.871
42,5.043,1.546,1.165,4.913,2.915
43,4.143,1.555,1.167,4.965,3.012
44,4.904,1.511,1.171,4.773,2.466
1,2.902,1.200,0.771,5.572,3.252
2,3.472,1.060,0.663,4.610,3.302
3,3.849,1.186,0.729,4.580,3.249
4,3.755,1.099,0.674,4.549,3.230
5,2.989,1.098,0.685,4.680,3.170
6,3.246,1.143,0.770,5.380,3.236
1,3.662,2.307,1.085,4.466,2.705
2,4.172,2.229,1.083,4.325,2.629
3,5.142,2.240,1.084,5.618,3.000
4,4.133,2.137,1.154,5.000,2.663
5,3.932,2.237,0.927,4.675,3.230
6,4.731,2.201,1.053,4.635,3.194
7,5.084,2.158,1.048,4.359,2.606
8,5.006,2.141,1.055,5.800,2.632
9,3.885,2.213,1.049,4.487,2.624
10,4.542,2.213,1.053,4.870,2.661
11,4.048,2.243,1.018,4.456,2.664
12,5.392,2.394,1.383,4.487,2.600
13,4.245,2.318,1.113,5.348,3.140
14,4.215,2.228,1.159,5.544,2.617
15,5.295,2.154,1.169,4.360,2.664
16,4.765,2.310,1.210,4.392,2.600
17,3.827,2.155,1.049,4.411,2.652
18,5.123,2.369,1.277,5.543,2.609
19,3.715,2.111,1.048,4.040,2.600
20,4.287,2.207,1.049,4.807,2.826
21,3.778,2.473,1.276,4.680,2.836
22,2.919,2.083,1.016,5.772,3.052
23,5.076,2.175,1.050,4.264,2.626
24,4.474,2.086,0.993,5.106,2.674
25,4.037,2.201,1.086,5.192,2.631
26,4.696,2.160,1.088,6.376,3.772
27,4.132,2.215,0.988,3.944,2.629
28,4.009,2.203,1.053,4.135,2.695
29,4.854,2.114,1.049,4.774,2.987
30,5.070,2.184,1.114,5.832,2.664
31,4.030,2.173,0.986,4.836,2.653
32,4.437,2.131,1.071,4.263,2.622
33,3.661,2.209,1.112,4.220,2.683
34,4.084,2.179,1.047,4.773,2.680
35,4.518,2.067,1.032,4.901,2.661
36,4.107,2.166,1.081,4.517,2.678
37,4.673,2.278,1.115,5.348,3.012
38,4.434,2.169,1.059,4.540,2.652
39,4.425,2.097,0.941,5.650,3.953
40,4.429,2.117,1.047,4.456,2.703
41,4.418,2.137,1.059,5.635,2.978
42,4.691,2.206,1.050,4.134,2.599
43,4.956,2.201,1.111,5.057,3.102
44,5.288,2.299,1.119,5.157,3.141
45,4.753,2.274,1.166,4.733,3.100
46,6.059,2.339,1.207,4.774,2.630
47,5.280,2.175,1.080,4.324,2.659
48,2.899,2.078,1.023,4.114,2.673
49,4.801,2.120,1.049,5.926,2.676
50,3.932,2.236,1.148,4.776,2.606
51,3.636,2.453,1.255,5.353,2.621
52,3.823,2.241,1.082,5.510,2.661
53,3.490,2.368,1.275,5.316,3.562
54,4.289,2.108,1.050,5.672,2.599
55,4.903,2.146,1.047,4.264,2.599
56,3.542,2.158,1.069,5.353,3.272
57,4.831,2.105,0.984,4.359,2.594
58,4.003,2.362,1.254,4.583,2.730
59,4.314,2.111,1.049,5.832,2.663
60,4.618,2.155,1.142,4.039,2.599
61,4.343,2.132,1.062,4.357,2.629
62,3.917,2.244,1.021,5.127,3.335
